iter	Passed	Remaining
0	142	142164
1	143	71706
2	144	48141
3	145	36318
4	146	29184
5	147	24408
6	148	21053
7	149	18490
8	149	16479
9	150	14863
10	150	13554
11	151	12463
12	151	11532
13	152	10739
14	153	10055
15	153	9453
16	154	8923
17	154	8449
18	155	8023
19	155	7642
20	156	7297
21	157	6980
22	157	6697
23	158	6431
24	159	6214
25	159	5989
26	160	5785
27	161	5593
28	161	5417
29	162	5250
30	162	5094
31	163	4950
32	164	4813
33	164	4684
34	165	4565
35	166	4448
36	166	4337
37	167	4232
38	167	4131
39	168	4038
40	168	3947
41	169	3861
42	169	3779
43	170	3702
44	171	3630
45	171	3558
46	172	3489
47	172	3425
48	173	3366
49	174	3308
50	174	3254
51	175	3202
52	176	3152
53	177	3102
54	177	3054
55	178	3008
56	179	2961
57	179	2918
58	181	2887
59	181	2848
60	182	2810
61	183	2771
62	183	2734
63	184	2701
64	185	2670
65	186	2637
66	186	2603
67	187	2570
68	188	2538
69	189	2513
70	190	2488
71	191	2470
72	192	2441
73	193	2421
74	194	2395
75	195	2373
76	195	2348
77	197	2329
78	198	2309
79	198	2286
80	199	2266
81	200	2246
82	201	2221
83	201	2200
84	202	2180
85	203	2160
86	203	2139
87	205	2125
88	205	2107
89	206	2087
90	210	2099
91	211	2082
92	211	2066
93	212	2049
94	213	2032
95	214	2017
96	215	2003
97	216	1989
98	216	1974
99	217	1959
100	218	1944
101	219	1932
102	220	1919
103	221	1906
104	222	1897
105	226	1913
106	227	1902
107	228	1888
108	229	1873
109	229	1860
110	230	1846
111	231	1832
112	231	1819
113	232	1806
114	233	1795
115	233	1783
116	234	1769
117	235	1757
118	235	1744
119	236	1733
120	236	1720
121	237	1707
122	237	1695
123	238	1684
124	239	1673
125	239	1663
126	240	1651
127	240	1640
128	241	1629
129	241	1618
130	242	1607
131	242	1597
132	243	1587
133	243	1576
134	244	1567
135	245	1557
136	245	1547
137	246	1538
138	246	1528
139	247	1519
140	247	1510
141	248	1500
142	248	1491
143	249	1482
144	249	1473
145	250	1465
146	251	1457
147	252	1450
148	252	1442
149	253	1434
150	253	1426
151	254	1418
152	254	1410
153	255	1402
154	255	1394
155	256	1387
156	257	1379
157	257	1373
158	258	1366
159	259	1359
160	259	1351
161	259	1344
162	260	1337
163	261	1330
164	261	1323
165	262	1317
166	262	1310
167	263	1303
168	263	1297
169	264	1292
170	265	1285
171	265	1279
172	266	1273
173	267	1267
174	267	1261
175	268	1255
176	268	1249
177	269	1243
178	269	1238
179	270	1233
180	271	1227
181	271	1222
182	272	1216
183	273	1211
184	273	1206
185	274	1200
186	274	1195
187	275	1190
188	276	1185
189	277	1181
190	277	1175
191	278	1170
192	278	1165
193	279	1160
194	279	1155
195	280	1150
196	281	1145
197	281	1140
198	282	1136
199	282	1131
200	283	1127
201	284	1122
202	284	1118
203	285	1113
204	285	1108
205	286	1104
206	287	1099
207	287	1094
208	287	1089
209	288	1085
210	289	1081
211	289	1077
212	290	1072
213	290	1068
214	291	1063
215	291	1059
216	292	1055
217	293	1051
218	293	1046
219	294	1042
220	294	1038
221	295	1034
222	295	1030
223	296	1026
224	296	1022
225	297	1018
226	298	1015
227	298	1010
228	299	1007
229	299	1003
230	300	999
231	300	996
232	301	992
233	302	989
234	302	985
235	303	982
236	303	978
237	304	974
238	305	971
239	305	967
240	306	964
241	306	960
242	307	956
243	307	953
244	308	950
245	308	946
246	309	943
247	310	940
248	310	936
249	311	933
250	311	930
251	312	926
252	312	923
253	313	920
254	313	917
255	314	914
256	315	911
257	315	907
258	316	904
259	316	901
260	317	898
261	317	895
262	318	892
263	318	889
264	319	886
265	320	883
266	320	880
267	321	877
268	321	874
269	322	872
270	323	868
271	323	865
272	324	862
273	324	860
274	325	857
275	325	854
276	326	852
277	327	850
278	327	847
279	328	844
280	329	842
281	329	839
282	330	836
283	330	833
284	331	830
285	331	828
286	332	825
287	333	823
288	333	820
289	334	818
290	334	815
291	335	812
292	335	810
293	336	807
294	336	804
295	337	802
296	337	799
297	338	797
298	339	795
299	340	794
300	341	792
301	341	789
302	342	787
303	342	785
304	343	783
305	344	780
306	344	778
307	345	776
308	345	773
309	346	771
310	347	768
311	347	766
312	348	764
313	348	761
314	349	759
315	349	757
316	350	755
317	351	753
318	351	750
319	352	748
320	352	746
321	353	744
322	354	742
323	354	739
324	355	737
325	355	735
326	356	733
327	357	731
328	357	729
329	358	727
330	358	725
331	359	723
332	360	721
333	360	719
334	361	716
335	361	714
336	362	713
337	363	711
338	363	709
339	364	707
340	365	705
341	365	703
342	366	701
343	366	699
344	367	697
345	367	695
346	368	693
347	369	692
348	369	690
349	370	688
350	371	686
351	371	684
352	372	682
353	373	680
354	373	678
355	374	677
356	375	675
357	375	673
358	376	671
359	376	669
360	377	667
361	377	665
362	378	663
363	378	662
364	379	660
365	380	658
366	380	656
367	381	654
368	381	653
369	382	651
370	383	649
371	383	647
372	384	645
373	384	644
374	385	642
375	385	640
376	386	638
377	386	636
378	387	635
379	388	633
380	388	631
381	389	629
382	389	628
383	390	626
384	391	624
385	391	622
386	392	621
387	392	619
388	393	617
389	393	616
390	394	614
391	395	612
392	395	610
393	396	609
394	396	607
395	397	605
396	397	604
397	398	602
398	398	600
399	399	599
400	400	597
401	400	596
402	401	594
403	401	592
404	402	591
405	403	589
406	403	588
407	404	586
408	404	584
409	405	583
410	405	581
411	406	580
412	407	578
413	407	576
414	408	575
415	408	573
416	409	572
417	409	570
418	410	568
419	410	567
420	411	565
421	411	564
422	412	562
423	413	561
424	413	559
425	414	558
426	415	556
427	415	555
428	416	554
429	416	552
430	417	551
431	417	549
432	418	547
433	419	546
434	419	545
435	420	543
436	420	542
437	421	540
438	422	539
439	422	537
440	423	536
441	423	534
442	424	533
443	424	531
444	425	530
445	426	529
446	426	527
447	427	526
448	427	524
449	428	523
450	428	522
451	429	520
452	429	519
453	430	517
454	431	516
455	431	515
456	432	513
457	433	513
458	434	511
459	434	510
460	435	508
461	435	507
462	436	506
463	436	504
464	437	503
465	438	502
466	438	500
467	439	499
468	439	497
469	440	496
470	440	495
471	441	493
472	442	492
473	442	491
474	443	489
475	443	488
476	444	487
477	445	486
478	445	484
479	446	483
480	446	482
481	447	480
482	447	479
483	448	478
484	449	476
485	449	475
486	450	474
487	451	473
488	451	472
489	452	470
490	452	469
